employeeID,lastName,email,hireDate,jobID,salary,managerID,departmentID
100,'King','SKING','17-JUN-03','AD_PRES',24000, ,90
101,'Kochhar','NKOCHHAR','21-SEP-05','AD_VP',17000,100,90
102,'De Haan','LDEHAAN','13-JAN-01','AD_VP',17000,100,90
103,'Hunold','AHUNOLD','03-JAN-06','IT_PROG',9000,102,60
104,'Ernst','BERNST','21-MAY-07','IT_PROG',6000,103,60
105,'Austin','DAUSTIN','25-JUN-05','IT_PROG',4800,103,60
106,'Pataballa','VPATABAL','05-FEB-06','IT_PROG',4800,103,60
107,'Lorentz','DLORENTZ','07-FEB-07','IT_PROG',4200,103,60
108,'Greenberg','NGREENBE','17-AUG-02','FI_MGR',12008,101,100
109,'Faviet','DFAVIET','16-AUG-02','FI_ACCOUNT',9000,108,100
110,'Chen','JCHEN','28-SEP-05','FI_ACCOUNT',8200,108,100
111,'Sciarra','ISCIARRA','30-SEP-05','FI_ACCOUNT',7700,108,100
112,'Urman','JMURMAN','07-MAR-06','FI_ACCOUNT',7800,108,100
113,'Popp','LPOPP','07-DEC-07','FI_ACCOUNT',6900,108,100
114,'Raphaely','DRAPHEAL','07-DEC-02','PU_MAN',11000,100,30
115,'Khoo','AKHOO','18-MAY-03','PU_CLERK',3100,114,30
116,'Baida','SBAIDA','24-DEC-05','PU_CLERK',2900,114,30
117,'Tobias','STOBIAS','24-JUL-05','PU_CLERK',2800,114,30
118,'Himuro','GHIMURO','15-NOV-06','PU_CLERK',2600,114,30
119,'Colmenares','KCOLMENA','10-AUG-07','PU_CLERK',2500,114,30
120,'Weiss','MWEISS','18-JUL-04','ST_MAN',8000,100,50
121,'Fripp','AFRIPP','10-APR-05','ST_MAN',8200,100,50
122,'Kaufling','PKAUFLIN','01-MAY-03','ST_MAN',7900,100,50
123,'Vollman','SVOLLMAN','10-OCT-05','ST_MAN',6500,100,50
124,'Mourgos','KMOURGOS','16-NOV-07','ST_MAN',5800,100,50
125,'Nayer','JNAYER','16-JUL-05','ST_CLERK',3200,120,50
126,'Mikkilineni','IMIKKILI','28-SEP-06','ST_CLERK',2700,120,50
127,'Landry','JLANDRY','14-JAN-07','ST_CLERK',2400,120,50
128,'Markle','SMARKLE','08-MAR-08','ST_CLERK',2200,120,50
129,'Bissot','LBISSOT','20-AUG-05','ST_CLERK',3300,121,50
130,'Atkinson','MATKINSO','30-OCT-05','ST_CLERK',2800,121,50
131,'Marlow','JAMRLOW','16-FEB-05','ST_CLERK',2500,121,50
132,'Olson','TJOLSON','10-APR-07','ST_CLERK',2100,121,50
133,'Mallin','JMALLIN','14-JUN-04','ST_CLERK',3300,122,50
134,'Rogers','MROGERS','26-AUG-06','ST_CLERK',2900,122,50
135,'Gee','KGEE','12-DEC-07','ST_CLERK',2400,122,50
136,'Philtanker','HPHILTAN','06-FEB-08','ST_CLERK',2200,122,50
137,'Ladwig','RLADWIG','14-JUL-03','ST_CLERK',3600,123,50
138,'Stiles','SSTILES','26-OCT-05','ST_CLERK',3200,123,50
139,'Seo','JSEO','12-FEB-06','ST_CLERK',2700,123,50
140,'Patel','JPATEL','06-APR-06','ST_CLERK',2500,123,50
141,'Rajs','TRAJS','17-OCT-03','ST_CLERK',3500,124,50
